method,n_tasks,spatiotemporal_iou_mean,spatial_iou_mean,weighted_spatial_iou_mean,mse_mean,real_take_variance_mse_mean,real_take_variance_spatiotemporal_iou_mean
gf5base,2,0.029947231218649215,0.36012095122609966,0.11615767339450847,0.013404600889468082,0.0009627105407869547,0.5574216920844379
promptx,2,0.025951365974744824,0.20983980532501656,0.11623063944216205,0.017992497612896032,0.0009627105407869547,0.5574216920844379
action_focus,2,0.07233113718576502,0.29584716327535976,0.19357284936852603,0.014747559018360334,0.0009627105407869547,0.5574216920844379
