method,task_id,scenario,view,frames,spatiotemporal_iou_v1_mean,spatiotemporal_iou_v2_mean,spatiotemporal_iou_mean,spatial_iou_v1,spatial_iou_v2,spatial_iou_mean,weighted_spatial_iou_v1,weighted_spatial_iou_v2,weighted_spatial_iou_mean,mse_v1_mean,mse_v2_mean,mse_mean,real_take_variance_mse_mean,real_take_variance_spatiotemporal_iou_mean
gf5base,0001,trimmed-ball-and-block-fall.mp4,perspective-left,72,0.020458979242448078,0.020210077605068707,0.020334528423758394,0.26536892865110373,0.2520863799472605,0.2587276542991821,0.05554825687635108,0.049973095825729244,0.05276067635104016,0.010060834918274648,0.010360241376070512,0.01021053814717258,0.0019254210815739094,0.11484338416887593
gf5base,0005,trimmed-ball-behind-rotating-paper.mp4,perspective-center,72,0.039559934013540035,0.039559934013540035,0.039559934013540035,0.4615142481530172,0.4615142481530172,0.4615142481530172,0.17955467043797677,0.17955467043797677,0.17955467043797677,0.016598663631763582,0.016598663631763582,0.016598663631763582,0.0,1.0
promptx,0001,trimmed-ball-and-block-fall.mp4,perspective-left,72,0.02020556439720876,0.02016721875844931,0.020186391577829036,0.15078013247947888,0.12071191686933451,0.1357460246744067,0.06740251200635768,0.056147175056883915,0.0617748435316208,0.017686348618654948,0.01789521314074389,0.017790780879699417,0.0019254210815739094,0.11484338416887593
promptx,0005,trimmed-ball-behind-rotating-paper.mp4,perspective-center,72,0.031716340371660615,0.031716340371660615,0.031716340371660615,0.2839335859756264,0.2839335859756264,0.2839335859756264,0.1706864353527033,0.1706864353527033,0.1706864353527033,0.018194214346092648,0.018194214346092648,0.018194214346092648,0.0,1.0
action_focus,0001,trimmed-ball-and-block-fall.mp4,perspective-left,72,0.2281157024521,0.019583542425220007,0.12384962243866,0.2114931361436462,0.17079709006202567,0.19114511310283594,0.1481722337176076,0.11337826679139151,0.13077525025449954,0.011225683039002534,0.011178498098161072,0.011202090568581803,0.0019254210815739094,0.11484338416887593
action_focus,0005,trimmed-ball-behind-rotating-paper.mp4,perspective-center,72,0.020812651932870036,0.020812651932870036,0.020812651932870036,0.4005492134478836,0.4005492134478836,0.4005492134478836,0.2563704484825525,0.2563704484825525,0.2563704484825525,0.018293027468138864,0.018293027468138864,0.018293027468138864,0.0,1.0
