video	surprise	similarity
0001_trimmed-ball-and-block-fall.mp4	0.454181	0.545819
0002_trimmed-ball-and-block-fall.mp4	0.439220	0.560780
0003_trimmed-ball-and-block-fall.mp4	0.432139	0.567861
0004_trimmed-ball-behind-rotating-paper.mp4	0.441799	0.558201
0005_trimmed-ball-behind-rotating-paper.mp4	0.444127	0.555873
0006_trimmed-ball-behind-rotating-paper.mp4	0.423192	0.576808
0007_trimmed-ball-hits-duck.mp4	0.416143	0.583857
0008_trimmed-ball-hits-duck.mp4	0.389707	0.610293
