video	surprise	similarity
0001_trimmed-ball-and-block-fall.mp4	0.454822	0.545178
0002_trimmed-ball-and-block-fall.mp4	0.439641	0.560359
0003_trimmed-ball-and-block-fall.mp4	0.431881	0.568119
0004_trimmed-ball-behind-rotating-paper.mp4	0.442057	0.557943
0005_trimmed-ball-behind-rotating-paper.mp4	0.443585	0.556415
0006_trimmed-ball-behind-rotating-paper.mp4	0.420423	0.579577
0007_trimmed-ball-hits-duck.mp4	0.416057	0.583943
0008_trimmed-ball-hits-duck.mp4	0.388112	0.611888
